name,kind,en_wikipedia_views_30d,daily_avg,peak_day,peak_day_views,views_last_7d,last7_vs_daily_avg,also_on_screen_actor_roster
Nam Gyu-ri,individual,2997,100,20260708,130,694,0.9,no
Tae Jin-ah,individual,261,9,20260721,14,63,1.11,no
Jay B,individual,5480,183,20260714,234,1297,1,no
Park Bo-young,individual,22953,765,20260802,1230,6639,1.18,yes
Yang Hyun-suk,individual,8530,284,20260708,493,2039,0.88,no
Jang Sa-ik,individual,62,2,20260719,7,7,0.39,no
Kim Kang-woo,individual,4366,146,20260714,260,935,0.82,yes
Yeon Jung-hoon,individual,4144,138,20260805,242,1212,1.45,no
Yoon Doo-joon,individual,3230,108,20260806,217,1002,1.49,no
Jun Hyo-seong,individual,2624,87,20260709,119,526,0.8,yes
Nana (entertainer),individual,13639,455,20260712,629,3142,0.88,no
Hwayobi,individual,408,14,20260716,22,91,1.11,no
Kim Jung-ah,individual,1062,35,20260721,59,252,1.01,no
Defconn,individual,682,23,20260729,38,167,1.1,no
Dia (singer),individual,283,9,20260714,18,53,0.72,no
Eli Kim,individual,1436,48,20260709,89,313,0.96,no
Soyou,individual,3331,111,20260725,182,766,1.12,no
Yoon Bo-ra,individual,3788,126,20260723,196,893,1.17,yes
Kim E-Z,individual,1000,33,20260718,50,213,0.84,no
Eru (singer),individual,459,15,20260709,29,108,1.03,no
Min Hae-kyung,individual,65,2,20260713,5,10,0.67,no
Fat Cat (singer),individual,161,5,20260731,12,50,1.32,no
G.O (singer),individual,908,30,20260801,43,225,1.1,no
Kim Yeon-woo,individual,873,29,20260720,41,197,0.94,no
Hahn Dae-soo,individual,180,6,20260723,12,33,0.89,no
L (entertainer),individual,8681,289,20260712,435,1692,0.65,no
Hwang Min-woo,individual,709,24,20260803,39,191,1.45,no
Yangpa,individual,329,11,20260722,21,79,1.1,no
Kim Greem,individual,62,2,20260715,5,15,1,no
Kim Jae-duck,individual,671,22,20260730,50,157,1.37,no
Kim Jin-kyu (actor),individual,445,15,20260721,27,112,0.98,no
Kim Jong-seo (musician),individual,297,10,20260713,18,67,0.89,no
Kim Sa-rang (singer),individual,80,3,20260725,8,17,1.13,no
Kim Seung-ho,individual,157,5,20260802,14,45,1.22,yes
"Kim So-hee (singer, born 1917)",individual,107,4,20260722,14,21,0.88,no
Koo Jun-yup,individual,5179,173,20260710,1493,517,0.19,no
Kwak Hee-sung,individual,132,4,20260716,8,31,1.07,no
Lee Juck,individual,670,22,20260715,39,147,1.05,no
Lee Pa-ni,individual,151,5,20260718,10,25,0.66,no
Song Seung-hyun,individual,1900,63,20260710,233,328,0.5,no
Na Tae-ju,individual,178,6,20260806,12,47,1.12,no
Kang Susie,individual,356,12,20260728,21,87,1.07,no
Kang Se-jung,individual,475,16,20260717,26,128,1.54,no
Kim Young-ho (actor),individual,658,22,20260718,46,125,0.92,no
Loptimist,individual,43,2,20260729,6,20,2.86,no
Kang Seung-yoon,individual,2294,76,20260711,129,481,0.7,yes
Huh Joon-ho,individual,12602,420,20260712,618,2380,0.63,yes
"Kai (entertainer, born 1994)",individual,10380,346,20260724,564,2404,1.16,no
Nam Woo-hyun,individual,2298,77,20260729,100,551,1.07,no
Sehun,individual,5187,173,20260724,252,1156,1.03,no
CNU (singer),individual,682,23,20260710,69,155,0.75,no
Lee Bo-ram,individual,1379,46,20260806,107,390,1.22,no
"Lee Min-hyuk (rapper, born 1990)",individual,7047,235,20260725,1019,1110,1.56,no
Jo Eun-byul,individual,220,7,20260710,14,64,1.19,no
Ha Soo-bin,individual,191,6,20260724,16,34,0.67,no
Hakuryu (actor),individual,506,17,20260801,27,136,1.3,no
Jung Ho-keun,individual,130,4,20260806,14,40,1.21,no
Jo Young-min,individual,495,17,20260720,28,143,1.59,no
"Kim Ji-hoon (actor, born 2000)",individual,363,12,20260726,19,90,1.18,no
Kim Ji-hoon (singer),individual,931,31,20260803,50,261,1.51,no
Kim Ji-hyun (singer),individual,716,24,20260713,52,168,0.84,no
Kim Jin-ho (singer),individual,310,10,20260801,18,82,1.22,no
Kim Tae-gyun (comedian),individual,165,6,20260715,17,42,1.02,no
Kim Hyun-sik,individual,676,23,20260713,43,115,0.72,no
Niel (singer),individual,1059,35,20260728,96,208,0.78,no
Noh Sa-yeon,individual,464,15,20260709,28,98,0.7,no
Illson,individual,98,3,20260712,6,20,0.74,no
David Oh (musician),individual,268,9,20260713,22,60,0.91,no
The One (singer),individual,393,13,20260711,23,85,0.82,no
Lisa (South Korean singer),individual,899,30,20260715,44,208,0.92,no
Loco (rapper),individual,1804,60,20260717,106,397,1.07,no
Maeng Se-chang,individual,115,4,20260722,8,27,1,no
Mikey (singer),individual,503,17,20260713,68,95,0.57,no
Song Won-geun,individual,133,4,20260725,10,23,0.74,no
Song Hae,individual,422,14,20260801,24,108,1.37,no
Skull (singer),individual,244,8,20260717,15,57,0.92,no
Swings (rapper),individual,903,30,20260709,44,218,1.01,no
Ahn Sook-sun,individual,108,4,20260722,12,24,1.09,no
An Chi-hwan,individual,52,2,20260717,5,13,0.76,no
Anda (singer),individual,787,26,20260718,105,192,1.25,no
Eric Nam,individual,100562,3352,20260726,11714,20311,1.02,no
Irene (singer),individual,11904,397,20260806,666,3927,1.71,no
Yang Hee-eun,individual,267,9,20260806,26,82,1.67,no
Neon Bunny,individual,83,3,20260727,11,21,1.31,no
Yang Se-chan,individual,2550,85,20260708,111,626,0.99,no
Kim Bo-hyung,individual,349,12,20260714,21,91,1.18,no
"Lee Hye-young (actress, born 1971)",individual,1110,37,20260802,60,275,1.17,no
Monday Kiz (singer),individual,481,16,20260711,36,88,0.61,no
Im Tae-kyung,individual,232,8,20260715,13,60,1.18,yes
N (singer),individual,5452,182,20260726,238,1431,1.28,no
Yerin Baek,individual,2348,78,20260726,114,558,1.03,no
Ravi (rapper),individual,2252,75,20260716,89,508,0.89,no
Oh Jong-hyuk,individual,1281,43,20260711,105,242,0.51,no
Song Mi-jin,individual,142,5,20260721,12,27,0.87,no
Chang Ho-chirl,individual,85,3,20260802,8,25,1.47,no
Lee Young-yoo,individual,326,11,20260728,23,48,0.55,no
Lee Hyun-jae (actor),individual,437,15,20260708,50,80,0.47,no
Kwon Ri-se,individual,3400,113,20260713,156,703,0.74,no
Johsel Namkung,individual,72,8,20260731,42,49,0.69,no
Son Ho-jun,individual,5360,179,20260726,237,1216,0.98,yes
Park Soo-jin,individual,4282,143,20260729,306,835,1.04,yes
Yang Seung-ho,individual,591,20,20260728,33,151,1.16,no
Han Groo,individual,1141,38,20260709,138,229,0.64,no
Kim Jun-ho (comedian),individual,3195,107,20260730,1248,974,2.85,no
Kwon Nara,individual,6803,227,20260710,286,1572,0.96,no
Lim Kim,individual,1687,56,20260723,110,279,0.76,no
Son Seung-yeon,individual,511,17,20260708,23,116,0.95,no
Hari (singer),individual,206,7,20260710,13,52,1,no
Kim Jung-min (entertainer),individual,1211,40,20260723,132,215,1.05,no
Hyuk Shin,individual,675,23,20260709,130,143,0.53,no
NC.A,individual,375,13,20260802,22,84,0.9,no
Yun Hyon-seok,individual,300,10,20260806,38,89,1.82,no
Ah Young,individual,824,27,20260806,39,212,1.2,no
Andrew Choi,individual,8325,278,20260726,377,2096,1.17,no
Rottyful Sky,individual,280,9,20260711,36,43,0.41,no
Cha Ji-yeon,individual,2364,79,20260709,111,480,0.73,no
Horan (singer),individual,288,10,20260714,14,70,1.21,no
Park Cho-a,individual,2338,78,20260721,95,471,0.85,no
Yoon Sang,individual,2010,67,20260725,206,470,1.72,no
Bizzy,individual,519,17,20260715,25,121,0.95,no
Doh Kyung-soo,individual,9514,317,20260805,401,2459,1.17,yes
RM (musician),individual,75911,2530,20260719,9892,16016,1.38,no
Giriboy,individual,588,20,20260709,34,138,0.98,no
Lee Kyu-hyung,individual,5516,184,20260711,282,1342,0.86,yes
Ryu Jun-yeol,individual,13777,459,20260805,624,3997,1.38,yes
Baek Hyun-jin,individual,5064,169,20260712,424,893,0.58,yes
Kim Min-seok (actor),individual,9276,309,20260712,466,1780,0.63,no
Hello Ga-Young,individual,70,2,20260806,6,22,1.57,no
Sleeq,individual,111,4,20260716,9,33,1.22,no
Lee Su-jeong,individual,496,17,20260720,25,103,0.94,no
Kim Ho-joong,individual,379,13,20260716,25,82,0.85,no
Park Ha-na,individual,1994,66,20260716,91,454,0.96,yes
Lee Eun-mi (singer),individual,324,11,20260802,20,89,1.44,no
Oh Seung-ah,individual,842,28,20260718,38,204,1.03,yes
Parc Jae-jung,individual,748,25,20260718,48,172,1.1,no
Park Si-eun (entertainer),individual,2713,90,20260730,138,757,1.3,no
Shin Hye-jeong,individual,1321,44,20260720,60,317,1.02,no
Lee Sung-kyung,individual,21061,702,20260727,932,5431,1.32,no
Kim Da-hyun,individual,444,15,20260726,23,108,1.1,yes
Shin Ji-min,individual,3000,100,20260721,177,741,1.31,no
Shin Ji-hoon,individual,313,10,20260803,17,73,0.94,no
Cho Seung-hee,individual,957,32,20260802,44,263,1.08,no
Kim Hye-young,individual,573,19,20260724,84,85,1.85,no
Jang Minho,individual,566,19,20260712,35,110,0.64,no
Heo Kyung-hwan,individual,2095,70,20260728,104,501,1.05,no
Jung Joon-young,individual,11913,397,20260714,484,2778,0.94,no
Tak Jae-hoon,individual,815,27,20260710,37,192,1.02,no
Kim Mi-ryeo,individual,61,2,20260723,10,12,1.71,no
Park Junyoung,individual,91,3,20260806,11,23,0.82,no
Park Sung-kwang,individual,293,10,20260804,27,93,1.31,no
Yoo Ji-ae,individual,22,1,20260718,3,4,0.57,no
Park Gil-ra,individual,12,0,20260729,2,2,0.67,no
Jung Il-hoon,individual,2424,81,20260725,124,459,0.81,no
Lee Chan-hyuk,individual,1930,64,20260725,95,420,0.96,no
Bae Cheol-soo,individual,237,8,20260716,15,66,1.32,no
Bill Stax,individual,822,27,20260730,86,168,1.44,no
Choi Jung-won (singer),individual,515,17,20260729,68,133,1.6,no
Kim Dong-hyun (actor),individual,481,16,20260805,25,127,1.05,no
Im Kang-sung,individual,212,7,20260719,13,38,0.73,no
Kim Heung-gook,individual,118,4,20260711,8,21,0.66,no
Kim So-jung (singer),individual,183,6,20260712,14,42,0.78,no
Kim Yong-jun (singer),individual,1447,48,20260717,69,313,1.13,no
Kwak Hyun-hwa,individual,116,4,20260729,10,28,1.56,no
Lee Si-a,individual,1148,38,20260714,54,267,0.94,yes
Min Do-hee,individual,2184,73,20260728,314,469,1.62,yes
Park Gyeong-ree,individual,896,30,20260709,42,234,1.04,no
Viki (singer),individual,1238,41,20260802,52,287,1.01,no
Chang Kiha,individual,6652,222,20260710,1245,1619,0.55,no
Jang Beom-june,individual,334,11,20260716,22,66,0.73,no
Jang Hye-jin (singer),individual,205,7,20260713,15,34,0.67,no
Jiyul (singer),individual,259,9,20260714,14,67,1.12,no
Lee Ji-hye,individual,1167,39,20260724,55,293,1.13,no
Lee So-jung,individual,996,33,20260712,49,215,0.77,no
Ahn Jae-hyo,individual,19,1,20260709,3,6,0.75,no
EunB,individual,1039,35,20260711,64,196,0.58,no
Jang Jin-young (singer),individual,466,16,20260724,63,88,0.98,no
Kim Seol-hyun,individual,8431,281,20260726,368,1922,0.96,no
Kwon Hyuk-soo (actor),individual,634,21,20260718,41,148,1.22,no
Kwon Mina,individual,4760,159,20260806,1262,2519,4.31,no
Yook Sung-jae,individual,11603,387,20260713,583,2158,0.66,yes
Cho Sae-ho,individual,1036,35,20260721,45,238,1.03,no
Kim Sun-woong,individual,248,8,20260716,31,66,1.03,no
Kwon Jin-ah,individual,2700,90,20260715,471,424,1.02,no
Jeong Se-woon,individual,972,32,20260715,43,237,1.17,no
Elly (rapper),individual,1169,39,20260712,76,255,0.76,no
Heo Sol-ji,individual,1480,49,20260731,68,370,1.15,no
Jo Kwang-min,individual,394,13,20260802,21,101,1.09,no
Kang Hye-yeon,individual,1410,47,20260724,81,364,1.46,no
Sleepy (rapper),individual,539,18,20260803,32,147,1.13,no
Sunwoo Jung-a,individual,606,20,20260710,36,125,0.72,no
Yang Hee-kyung,individual,339,11,20260729,19,75,0.87,yes
Lee Hwa-kyum,individual,920,31,20260721,44,211,0.9,no
Baro (entertainer),individual,1867,62,20260710,149,430,0.78,no
Gongchan,individual,806,27,20260710,60,184,0.75,no
Jung Jin-young (singer),individual,6632,221,20260710,408,1512,0.77,no
Sandeul,individual,1067,36,20260718,68,202,0.67,no
Shannon (South Korean singer),individual,2722,91,20260720,296,925,2.73,no
Song So-hee,individual,1616,54,20260718,77,411,1.28,no
Lee Seung-hoon (rapper),individual,1208,40,20260718,87,228,0.84,no
Seulgi,individual,7316,244,20260806,437,2509,1.82,no
Park Bo-gum,individual,35461,1182,20260710,1346,8392,0.97,yes
Seo Kang-joon,individual,16288,543,20260803,979,4696,1.29,no
Nam Tae-hyun,individual,1263,42,20260714,58,291,0.92,no
Zick Jasper,individual,151,5,20260717,12,35,1.03,no
Cheetah (rapper),individual,632,21,20260712,27,144,0.98,no
Jung Ji-so,individual,6600,220,20260710,294,1599,1.05,no
Lang Lee,individual,133,4,20260717,10,32,1.45,no
Park Si-hwan,individual,95,3,20260729,10,17,0.89,no
Sohyang,individual,3024,101,20260711,140,699,0.89,no
Z.Hera,individual,780,26,20260712,75,150,0.65,no
Heyne (singer),individual,71,2,20260709,6,16,0.8,no
Hyeeunyee,individual,101,4,20260708,9,16,0.42,no
Kang Tae-oh,individual,15672,522,20260726,627,3938,1.09,yes
Kiggen,individual,245,8,20260713,20,51,0.78,no
Kim Jung Mi (singer),individual,802,27,20260722,41,152,0.7,no
Kisum,individual,270,9,20260726,16,75,1.25,no
Yumdda,individual,154,5,20260805,11,47,1.42,no
Lee Chang-sub,individual,2158,72,20260725,122,444,0.86,no
Jin Miryung,individual,38,1,20260720,4,12,1.71,no
Cream (rapper),individual,175,6,20260803,12,48,1.07,no
Bada Kim,individual,204,7,20260727,21,47,0.92,no
Alice (South Korean singer),individual,12,0,20260721,2,3,1.5,no
Kim Jung-woo (singer),individual,273,9,20260711,54,49,0.46,no
Michelle Lee (singer),individual,629,21,20260803,34,170,1.47,no
Seo Eun-kwang,individual,2071,69,20260715,118,403,0.81,no
J-Hope,individual,67172,2239,20260719,10416,13401,1.37,no
Peniel Shin,individual,4223,141,20260710,238,736,0.52,no
Hani (singer),individual,6666,222,20260805,460,2150,2.14,no
Im Do-hwa,individual,1490,50,20260727,69,335,1.18,no
Na Hae-ryung,individual,1419,47,20260728,72,345,1.32,no
"Yuna (singer, born 1992)",individual,1120,37,20260801,51,273,1.15,no
Park Bo-ram,individual,6206,207,20260708,489,1270,0.7,no
Mino (rapper),individual,3606,120,20260714,248,659,0.71,no
Kim Jin-woo (musician),individual,1179,39,20260718,67,228,0.85,no
B.I (rapper),individual,5289,176,20260726,276,1207,1.04,no
Kwak Si-yang,individual,4041,135,20260804,184,1083,1.15,yes
Park Subin,individual,610,20,20260723,41,180,1.53,no
Sook-ja Kim,individual,66,2,20260726,6,15,0.94,no
Joy (singer),individual,11618,387,20260803,604,3707,1.57,no
Hur Young-ji,individual,3912,130,20260709,226,813,0.63,no
Bang Ye-dam,individual,3284,109,20260711,241,706,0.71,no
Eddy Kim,individual,877,29,20260710,38,217,1.04,no
Seo Hye-lin,individual,738,25,20260713,33,175,0.98,no
Choi Jung-moon,individual,202,7,20260729,12,46,1.21,no
Sumi Hwang,individual,128,4,20260801,13,43,1.87,no
Baek Eun-hye,individual,1723,57,20260712,94,351,0.71,no
Dasuri Choi,individual,1250,42,20260719,118,244,1.06,no
Shine Kuk,individual,248,8,20260718,16,46,0.78,no
"Sunghoon (singer, born 2002)",individual,10523,351,20260806,538,2580,1.08,no
Choi Young-jae,individual,2588,86,20260803,130,696,1.24,yes
Heo Jung-min,individual,1197,40,20260712,59,238,0.84,no
Bobby (rapper),individual,3819,127,20260725,204,794,0.86,no
Yugyeom,individual,2600,87,20260728,112,628,1.08,no
Lee Dong-hwi,individual,10015,334,20260720,1222,1894,0.96,yes
Nancy (singer),individual,10646,355,20260730,438,2375,0.93,no
Yuk Ji-dam,individual,258,9,20260723,30,44,0.9,no
Hari Won,individual,964,32,20260801,46,267,1.28,no
Kang Kyun-sung,individual,1052,35,20260804,418,687,6.13,no
Yoo Byung-jae,individual,927,31,20260722,58,226,1.1,no
Moonbyul,individual,5088,170,20260731,313,1478,1.54,no
Huh Chan-mi,individual,762,25,20260723,33,176,0.95,no
Hwasa,individual,33658,1122,20260717,2638,9706,3.08,no
Haechan,individual,3449,115,20260708,196,740,0.89,no
Wheein,individual,4678,156,20260731,267,1325,1.46,no
Yerin (entertainer),individual,1878,63,20260806,124,532,1.25,no
Park Shin-won,individual,1955,65,20260803,93,469,0.99,no
Sunhae Im,individual,223,7,20260728,14,51,1.06,no
Jung Seung-hwan (singer),individual,1271,42,20260717,54,274,0.93,no
Katie (singer),individual,473,16,20260723,31,115,1.29,no
Gong Myung,individual,20450,682,20260718,925,4208,0.74,no
Kim Na-young (singer),individual,871,29,20260805,65,244,1.13,no
Yeri (singer),individual,10059,335,20260806,703,3712,1.78,no
Kim Feel,individual,614,20,20260723,32,143,0.98,no
Jung Chan-woo (singer),individual,1474,49,20260726,83,343,1.07,no
Lee Su-hyun,individual,1782,59,20260804,86,489,1.44,no
Lee Jin-ah,individual,542,18,20260723,41,118,0.96,no
Ra.D,individual,232,8,20260710,14,57,1.06,no
Jo Jung-min,individual,177,6,20260712,11,41,1,no
Lee Hae-na,individual,67,2,20260715,7,19,1.73,no
Kwak Jin-eon,individual,164,5,20260727,11,27,0.66,no
Kidoh,individual,262,9,20260719,17,52,0.88,no
Young K,individual,5944,198,20260730,364,1699,1.56,no
Park Kyung,individual,1604,53,20260708,87,343,0.88,no
An Ye-seul,individual,175,6,20260724,11,45,1.29,no
Jung Kook,individual,126923,4231,20260719,13939,25426,1.17,no
Dahyun,individual,11282,376,20260714,627,2243,0.75,no
Jihyo,individual,21903,730,20260714,2422,5249,0.94,no
Ben (South Korean singer),individual,688,23,20260804,38,163,1.03,no
Hoshi (South Korean singer),individual,5148,172,20260727,294,1122,0.91,no
Kevin Oh,individual,8451,282,20260802,897,4107,3.66,no
Keith Ape,individual,2184,73,20260712,94,508,0.9,no
Park Yoon-ha,individual,193,6,20260718,14,44,1.07,no
Moonbin,individual,15894,530,20260719,591,3601,0.93,no
Joshua (American singer),individual,5856,195,20260727,392,1322,0.91,no
Kim Se-jeong,individual,23996,800,20260727,926,5785,1.02,yes
Jeon Somi,individual,17890,596,20260803,1171,4905,1.08,no
Bumzu,individual,1894,63,20260710,116,459,0.96,no
Woo Hye-mi,individual,163,5,20260721,12,42,1.45,no
Kim Jae-hyun,individual,1798,60,20260715,82,368,0.74,no
Choi Sung-min,individual,1199,40,20260804,138,570,2.97,no
Lee Seung-hyub,individual,3113,104,20260712,148,697,0.92,yes
Cha Hun,individual,449,15,20260712,51,73,0.42,no
Lee Tae-hwan,individual,7859,262,20260712,363,1483,0.67,yes
Yoon Hyun-sang,individual,100,3,20260721,8,28,1.33,no
Hyuk (singer),individual,831,28,20260719,54,177,1.04,no
Ken (South Korean singer),individual,780,26,20260723,40,159,0.94,no
Lee Hong-bin,individual,1154,38,20260721,67,270,1.08,no
Leo (singer),individual,1425,48,20260727,81,271,0.84,no
Jung Jae-il,individual,992,33,20260801,48,226,1.01,no
Park Sung-hoon,individual,11367,379,20260728,488,2701,1.07,yes
Yeo In-hyeok,individual,31,1,20260717,5,6,0.67,no
Yezi,individual,603,20,20260708,43,111,0.66,no
Brother Su,individual,352,12,20260721,28,74,0.95,no
Hyojung,individual,1496,50,20260728,173,281,1.02,no
Innovator (rapper),individual,41,1,20260712,4,8,0.67,no
Jung Key,individual,72,3,20260720,9,21,1.4,no
Lee Sun-bin,individual,28663,955,20260801,5790,18965,6.23,yes
Joohoney,individual,3372,112,20260724,155,728,0.92,no
Lee Jong-hwa (actor),individual,500,17,20260708,26,133,0.99,no
Momo Hirai,individual,15216,507,20260714,788,3780,1.07,no
Lil Boi,individual,515,17,20260716,24,118,0.96,no
Dean (South Korean singer),individual,2374,79,20260802,112,524,1.03,no
C Jamm,individual,271,9,20260716,15,67,1.18,no
DinDin,individual,2546,85,20260719,383,460,0.96,no
Jooyoung,individual,500,17,20260724,31,126,1.21,no
Mijoo,individual,3069,102,20260724,146,626,0.77,no
Somin (singer),individual,4096,137,20260728,285,1179,1.02,no
Dino (South Korean singer),individual,7121,237,20260803,445,2128,1.63,no
WoongSan,individual,270,9,20260804,29,109,2.73,no
Park Jeong-hwa,individual,1290,43,20260712,83,306,0.8,no
Yuju (singer),individual,2052,68,20260728,87,504,1.04,no
Ryu Su-jeong,individual,813,27,20260708,37,199,1.05,no
Na Haeun,individual,3370,112,20260725,267,754,1.22,no
Microdot (rapper),individual,239,8,20260720,15,58,1.07,no
Jimin,individual,81970,2732,20260719,10536,17163,1.35,no
Sanchez (rapper),individual,216,7,20260709,12,54,1.23,no
Jeong Ye-in,individual,692,23,20260727,40,192,1.22,no
Koo Jun-hoe,individual,1981,66,20260728,137,420,0.99,yes
Kim Sung-joo (entertainer),individual,1297,43,20260723,56,301,1.01,no
Chaeyoung,individual,11519,384,20260714,740,2441,0.83,no
Yohan Hwang,individual,160,5,20260726,15,26,0.76,no
Jin (singer),individual,84463,2815,20260719,13949,16774,1.39,no
Lovey (singer),individual,123,4,20260726,8,20,0.71,no
Deez (musician),individual,273,91,20260804,144,273,1,no
Kim Ban-jang,individual,52,2,20260722,7,10,0.83,no
Shin Kang-woo,individual,23,1,20260806,3,8,1.14,no
Hoody (singer),individual,439,15,20260718,26,89,0.96,no
Ahn Ye-eun,individual,685,23,20260718,44,131,0.9,no
Jeonghan,individual,6297,210,20260802,362,1523,0.96,no
Umji,individual,1563,52,20260728,70,396,1.18,no
Kang Mi-na,individual,32754,1092,20260708,1683,6596,0.71,yes
Arie (singer),individual,58,2,20260723,12,23,3.83,no
Mingyu,individual,10726,358,20260726,1336,1757,0.63,no
Elo (singer),individual,165,6,20260711,13,31,0.76,no
Eunha (singer),individual,2116,71,20260802,92,562,1.2,no
Oohyo,individual,311,10,20260708,30,71,0.91,no
YooA,individual,1763,59,20260712,79,429,1.05,no
DK (singer),individual,6208,207,20260727,786,1494,1.2,no
S.Coups,individual,7482,249,20260727,351,1825,1.01,no
Seungkwan,individual,4058,135,20260727,205,956,1.01,no
Vernon (rapper),individual,14888,496,20260727,2883,2184,0.53,no
Woozi,individual,4418,147,20260713,219,997,0.93,no
Kim Jong-hyeon,individual,1410,47,20260728,111,326,1.11,no
Youngjun,individual,242,8,20260805,75,123,6.47,no
Lee Hyun-joo (actress),individual,909,30,20260713,49,199,0.72,no
Feeldog,individual,385,13,20260708,65,62,0.44,no
Kihyun,individual,2244,75,20260726,103,418,0.75,no
Oh Hyuk,individual,1294,43,20260724,76,299,1.06,no
"Sung Hoon (singer, born 1980)",individual,95,3,20260724,8,26,1.86,no
U-Kwon,individual,1316,44,20260731,102,319,1.09,no
Kim So-won,individual,1635,55,20260728,68,404,1.06,no
Kim So-hye,individual,4224,141,20260719,288,768,0.67,no
"Lily (singer, born 2002)",individual,5947,198,20260717,295,1382,1.18,no
Stella Jang,individual,1355,45,20260730,88,315,1.01,no
Chung Ha,individual,7652,255,20260710,625,1403,0.53,no
Jaehyun,individual,5629,188,20260710,324,1169,0.66,no
Soyeon,individual,10508,350,20260731,592,2749,0.98,no
Taeyong,individual,4265,142,20260708,259,941,0.81,no
Doyoung,individual,6489,216,20260802,460,2391,1.87,no
Mark (rapper),individual,11769,392,20260708,789,2967,0.92,no
Kassy,individual,324,11,20260721,19,60,0.77,no
Jae Park,individual,4366,146,20260721,243,1028,1.1,no
Jennie (singer),individual,112397,3747,20260802,8261,36224,1.65,no
"Kim So-hee (singer, born 1995)",individual,777,26,20260724,38,142,0.71,no
Bewhy,individual,1368,46,20260716,137,389,1.89,no
Eunwoo,individual,31,1,20260719,3,6,2,no
One (rapper),individual,2666,89,20260727,113,645,1.02,no
Samuel (singer),individual,4640,155,20260711,283,877,0.64,no
BM (rapper),individual,11799,393,20260728,556,2874,0.93,no
J.Seph,individual,2543,85,20260728,206,751,1.02,no
Bona (singer),individual,8438,281,20260727,420,2121,1.41,no
Eunice (singer),individual,10,1,20260722,2,6,1,no
Gray (singer),individual,1410,47,20260726,64,296,0.94,no
Arin (singer),individual,5414,180,20260801,378,1766,1.55,no
Samuel Seo,individual,265,9,20260726,16,70,1.4,no
Kim Na-young (actress),individual,648,22,20260712,33,153,1.01,no
Chuu,individual,8309,277,20260710,678,1662,0.66,no
Kim Lip,individual,2292,76,20260724,111,575,1.2,no
Han Yo-han,individual,160,5,20260729,10,44,1.57,no
Kang Si-ra,individual,157,5,20260724,12,29,0.76,no
Jeno (singer),individual,2225,74,20260708,124,458,0.8,no
"Lee Min-hyuk (singer, born 1993)",individual,1901,63,20260724,107,384,0.96,no
Lee Dawon,individual,998,33,20260724,85,231,1.03,no
Rowoon,individual,17874,596,20260806,868,4863,1.22,no
Do Han-se,individual,313,10,20260715,22,67,0.82,no
Yeojin,individual,1882,63,20260724,97,414,0.87,no
Yoo Seon-ho,individual,4732,158,20260717,280,1223,1.52,no
Ahn Ji-young,individual,351,12,20260729,34,81,1.25,no
DPR Live,individual,1363,45,20260708,61,355,1.1,no
Nam Yu-jin,individual,200,7,20260720,20,39,1.08,no
Song Ga-in,individual,544,18,20260708,35,136,0.91,no
Suga,individual,76152,2538,20260719,11681,15570,1.38,no
Cha Eun-woo,individual,63449,2115,20260725,2491,14491,0.93,yes
Hwang Chi-yeul,individual,1345,45,20260803,80,366,1.16,no
"Kim Chae-won (singer, born 1997)",individual,87,3,20260716,7,18,0.6,no
Vittoria Yeo,individual,47,2,20260723,5,6,0.67,no
Yellow (singer),individual,4,1,20260722,1,4,1,no
Binnie (singer),individual,4,0,20260710,1,2,1,no
Kim Sa-wol,individual,160,5,20260708,11,34,0.76,no
Park Hye-su,individual,2673,89,20260726,125,583,0.95,no
Wonwoo,individual,6223,207,20260717,549,1204,0.86,no
Seunghee,individual,941,31,20260728,47,225,1.05,no
SinB,individual,1631,54,20260728,81,395,1.15,no
Lim Na-young,individual,4470,149,20260714,193,863,0.69,no
Shownu,individual,2727,91,20260726,132,614,0.96,no
Heize,individual,2171,72,20260710,102,481,0.87,no
Hwang In-sun,individual,181,6,20260724,11,45,1.02,no
Louie (rapper),individual,151,5,20260712,9,34,1.03,no
Sohn Ah-ram,individual,19,1,20260711,5,2,0.18,no
Song Yuvin,individual,288,10,20260709,15,60,0.67,no
Lee Su-ji,individual,653,22,20260802,46,199,1.36,no
Young Tak,individual,844,28,20260725,41,225,1.24,no
Kasper (singer),individual,431,14,20260725,26,99,0.84,no
Yoon Chae-kyung,individual,1232,41,20260708,74,289,0.86,no
Kim Il Du,individual,34,1,20260712,6,4,0.31,no
Dawon (singer),individual,787,26,20260726,43,207,1.34,no
Reddy (rapper),individual,291,10,20260723,19,67,1.02,no
Exy,individual,1634,54,20260726,88,430,1.25,no
Jung Chae-yeon,individual,12867,429,20260714,550,2827,0.84,yes
Buffy (rapper),individual,15,1,20260725,3,5,1.67,no
Jeongyeon,individual,14239,475,20260714,955,2986,0.76,no
Dayoung,individual,14435,481,20260727,1972,4755,3.71,no
Ahn Sol-bin,individual,1198,40,20260725,61,286,1.09,no
Jeong So-yeon,individual,457,15,20260729,24,103,1.13,no
Lee Jin-sol,individual,12,1,20260719,2,5,1.25,no
Julian Jootaek Kim,individual,359,12,20260724,42,82,1.41,no
"Kim Min-seok (singer, born 1991)",individual,2227,74,20260726,110,557,1.08,no
Lee Se-mi,individual,536,18,20260713,27,119,0.88,no
Woo Jin-young,individual,502,17,20260714,32,115,0.86,no
Yang Da-il,individual,157,5,20260708,10,25,0.52,no
